date,temp_avg,temp_max,temp_min,wind_speed,pressure,humidity,rain_cumulative,snow_height,sun
1961-01-01,-0.8,0.5,-2.5,0.7,988.4,96.0,2.3,5.0,0.0
1961-01-02,-0.4,0.5,-0.8,3.3,983.9,98.0,0.3,7.0,0.0
1961-01-03,1.5,2.8,-0.9,6.7,972.6,87.0,0.0,6.0,0.2
1961-01-04,2.1,7.0,0.8,4.3,971.7,87.0,0.0,0.0,0.6
1961-01-05,1.1,4.0,-0.6,3.0,981.5,85.0,0.0,0.0,1.0
1961-01-06,1.4,4.8,-3.2,6.0,985.9,77.0,0.0,0.0,5.0
1961-01-07,-0.3,2.6,-1.5,1.0,984.2,92.0,0.0,0.0,0.0
1961-01-08,0.8,2.9,-2.2,1.0,985.1,94.0,0.0,0.0,2.7
1961-01-09,0.8,3.6,-2.1,1.3,984.5,89.0,1.2,0.0,2.6
1961-01-10,0.4,2.6,-1.0,2.7,984.8,91.0,0.0,0.0,0.3
1961-01-11,1.6,2.3,0.0,2.7,987.3,87.0,0.0,0.0,0.0
1961-01-12,-1.9,2.0,-3.5,5.0,1000.1,63.0,0.0,0.0,4.9
1961-01-13,-3.5,0.4,-6.7,1.0,1003.6,74.0,0.0,0.0,7.4
1961-01-14,-2.7,0.3,-4.2,0.7,1001.1,88.0,0.0,0.0,0.3
1961-01-15,-1.0,3.2,-6.6,3.7,1001.9,83.0,0.0,0.0,4.6
1961-01-16,-3.7,-0.8,-7.0,2.7,996.0,87.0,0.0,0.0,1.5
1961-01-17,-4.1,0.9,-7.5,5.3,1000.9,54.0,0.0,0.0,7.0
1961-01-18,-9.2,-5.3,-12.2,3.3,1009.0,59.0,0.0,0.0,7.6
1961-01-19,-7.7,-1.6,-12.8,1.3,1004.4,61.0,0.0,0.0,6.9
1961-01-20,-6.6,1.1,-12.6,0.0,998.0,56.0,0.0,0.0,7.1
1961-01-21,-7.0,-1.2,-12.6,2.0,992.2,69.0,0.0,0.0,7.0
1961-01-22,-4.4,-1.0,-10.2,1.7,988.5,71.0,0.0,0.0,1.7
1961-01-23,-3.2,-0.5,-6.6,1.0,982.5,81.0,1.2,0.0,0.0
1961-01-24,-4.9,-2.4,-5.7,7.0,981.8,91.0,0.4,2.0,0.0
1961-01-25,-7.0,-4.3,-8.2,7.0,978.4,71.0,0.0,3.0,0.0
1961-01-26,-10.3,-6.0,-11.9,4.0,992.5,72.0,0.0,2.0,1.6
1961-01-27,-9.4,-1.3,-16.2,0.3,1002.1,64.0,0.0,2.0,7.0
1961-01-28,-7.6,-2.2,-13.0,7.7,998.2,72.0,0.0,0.0,6.7
1961-01-29,-6.8,-4.1,-9.8,1.3,997.0,88.0,0.0,0.0,0.0
1961-01-30,-3.2,-0.4,-9.3,1.7,987.3,88.0,2.0,0.0,0.0
1961-01-31,1.1,2.3,-0.8,2.3,979.0,96.0,8.5,0.0,0.0
1961-03-01,2.8,8.6,0.0,2.7,992.4,76.0,0.0,0.0,6.1
1961-03-02,1.9,7.0,-1.1,2.0,1000.2,77.0,0.0,0.0,3.4
1961-03-03,3.7,7.3,-0.4,0.3,1001.1,87.0,0.9,0.0,0.8
1961-03-04,4.7,7.5,3.6,1.0,1006.9,83.0,0.0,0.0,0.0
1961-03-05,4.9,12.5,-0.3,1.7,1007.1,76.0,0.0,0.0,5.6
1961-03-06,5.0,11.1,0.2,1.3,1005.8,80.0,0.0,0.0,3.0
1961-03-07,7.1,15.6,-1.3,4.0,1002.0,68.0,0.0,0.0,8.6
1961-03-08,7.8,16.7,1.3,2.3,1005.1,63.0,0.0,0.0,8.9
1961-03-09,8.0,18.1,0.2,2.7,1003.8,58.0,0.0,0.0,9.9
1961-03-10,7.9,18.0,-1.1,0.7,997.9,61.0,0.0,0.0,9.6
1961-03-11,8.8,17.3,1.1,4.0,996.8,70.0,0.0,0.0,9.0
1961-03-12,11.2,16.7,5.4,2.0,993.1,61.0,0.0,0.0,6.5
1961-03-13,8.2,12.4,7.3,8.0,985.5,76.0,1.1,0.0,0.0
1961-03-14,8.7,10.6,5.6,4.0,989.2,82.0,0.2,0.0,0.0
1961-03-15,10.2,14.0,8.4,7.3,994.0,72.0,0.0,0.0,4.4
1961-03-16,11.1,17.9,3.2,4.7,994.4,61.0,0.0,0.0,8.2
1961-03-17,10.6,18.6,2.3,0.7,994.1,59.0,0.0,0.0,10.2
1961-03-18,11.4,21.2,1.4,6.0,979.8,66.0,0.0,0.0,10.2
1961-03-19,4.7,11.3,2.6,6.3,979.2,66.0,0.0,0.0,0.0
1961-03-20,1.6,6.7,-2.6,4.0,981.3,74.0,0.0,0.0,6.6
1961-03-21,2.7,8.7,1.0,8.3,971.8,80.0,0.1,0.0,5.0
1961-03-22,-0.4,4.5,-2.8,5.0,985.5,73.0,0.3,0.0,5.6
1961-03-23,4.8,8.2,-3.6,4.7,989.5,80.0,0.0,0.0,0.0
1961-03-24,7.8,12.2,5.0,5.7,993.0,63.0,0.0,0.0,6.3
