id,car_2010,truc_2010,car_2011,truc_2011,car_2012,truc_2012,car_2013,truc_2013,car_2014,truc_2014,car_2015,truc_2015,car_2016,truc_2016,car_2017,truc_2017,car_2018,truc_2018,car_2019,truc_2019,car_2020,truc_2020,car_2021,truc_2021,car_2022,truc_2022,car_2023,truc_2023,datum_exportu,ObjectId,GlobalID,traffic_volume,length_km,accident_count,accident_severity,accidents_per_km,severity_per_km,danger_index
415,21,4,21,4,21,8,22,8,22,8,22,8,22,8,22,8,22,8,22,8,22,11,22,11,22,11,22,11,"Wed, 26 Feb 2025 00:00:00 GMT",443,5b90bbd0-d740-49a2-81b3-09b075b14d5d,33.0,0.31483233398782884,356.0,4555.067966417911,1130.760603559108,14468.234277976055,1201181.7582379456
70,17,8,17,9,16,9,16,8,17,8,16,8,12,4,14,6,14,6,13,9,12,9,12,8,12,8,11,8,"Wed, 26 Feb 2025 00:00:00 GMT",108,af8613d0-1fcd-462d-8479-203e29351a65,19.0,0.07874927382440416,417.0,465.0171641791045,5295.286924547779,5905.034314551318,851482.9581184308
151,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"Wed, 26 Feb 2025 00:00:00 GMT",7,4a149db5-c288-4ed4-8f32-650d64f11634,3.0,0.13082173926148963,33.0,111.16212686567162,252.251653175462,849.7221294656395,776001.9447174789
92,6,3,6,3,6,3,4,4,4,4,4,4,6,3,6,5,6,5,6,5,5,5,5,5,5,5,5,5,"Wed, 26 Feb 2025 00:00:00 GMT",68,d512efde-96b0-4c47-a896-a0e2f17a5c87,10.0,0.09497571011853036,139.0,190.5356343283582,1463.5320949590903,2006.1511947693616,549630.464320373
265,4,8,4,8,4,8,4,8,4,8,4,8,5,7,5,7,5,7,5,7,5,7,5,7,5,10,5,10,"Wed, 26 Feb 2025 00:00:00 GMT",581,553dabaf-2cc4-4041-9385-3fcead9e7d36,15.0,0.0622561034383227,132.0,179.12910447761197,2120.2740407737338,2877.2938649312623,525533.1260148424
95,23,8,22,8,22,8,21,8,22,8,22,8,22,7,23,7,23,7,23,7,22,7,22,7,21,7,20,7,"Wed, 26 Feb 2025 00:00:00 GMT",61,c14b3062-953a-4085-bed9-04938310d99e,27.0,0.09757621602392103,126.0,359.12777985074626,1291.298280813747,3680.484799315289,373463.7036342252
37,18,4,18,4,18,4,17,4,17,4,17,4,17,4,17,4,17,4,17,4,17,6,17,6,18,6,18,6,"Wed, 26 Feb 2025 00:00:00 GMT",132,471c7328-b248-4e4f-be43-61a34c3de296,24.0,0.04419599687048763,128.0,121.67485074626865,2896.1899055041663,2753.074019414604,314277.8560975575
41,18,4,18,4,18,4,17,4,17,4,17,4,17,4,17,4,17,4,17,4,17,6,17,6,18,6,18,6,"Wed, 26 Feb 2025 00:00:00 GMT",134,945d081f-a218-443d-82ca-63747adea974,24.0,0.09221524235964408,209.0,226.77619402985076,2266.4365960769205,2459.2050969774846,280731.1754540507
416,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,3,3,3,3,3,3,3,"Wed, 26 Feb 2025 00:00:00 GMT",105,3984e531-4107-45b3-ba8d-bd32b84ac734,6.0,0.5398846812012548,327.0,314.4300746268657,605.6849015838311,582.4022899246783,265937.1186870677
439,2,3,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,2,2,2,2,"Wed, 26 Feb 2025 00:00:00 GMT",285,af2bb645-0030-4b63-b176-eda9c96bd5ed,4.0,0.12142552085789121,43.0,46.016604477611935,354.12654354865396,378.9697927791216,259568.35121857643
315,14,5,14,5,14,5,11,5,11,5,10,5,9,5,9,5,9,5,9,5,10,10,11,9,11,9,10,7,"Wed, 26 Feb 2025 00:00:00 GMT",163,7e161854-b6ee-47d6-9051-5da0336b7a95,17.0,0.11602485786825761,206.0,184.48253731343283,1775.4815975203019,1590.0259711837496,256249.1492641015
124,12,4,12,4,12,4,12,4,12,4,12,4,12,4,10,12,10,12,10,12,10,12,10,12,10,12,7,13,"Wed, 26 Feb 2025 00:00:00 GMT",84,ce180938-2091-4765-8542-586bb7184c73,20.0,0.1710323065906963,218.0,311.2878731343284,1274.6129918115635,1820.0530609651594,249322.337118515
97,5,5,4,6,4,6,4,6,4,6,4,6,4,6,4,7,4,7,4,7,4,7,4,7,4,7,4,9,"Wed, 26 Feb 2025 00:00:00 GMT",62,9f12fb4b-ab21-4432-adac-7a7bb161d850,13.0,0.2860140374293814,178.0,337.5304850746269,622.347076387638,1180.118598752221,248707.81849361875
65,3,4,3,4,3,4,2,10,2,10,3,10,3,12,3,14,3,14,2,14,2,14,3,14,3,14,3,14,"Wed, 26 Feb 2025 00:00:00 GMT",96,75cb71b8-41f1-42ae-8776-10229d59140d,17.0,0.16092917170105148,233.0,229.07229477611943,1447.8419141610336,1423.4354924889153,229401.36865252463
71,18,5,18,5,17,5,17,5,17,5,17,5,18,6,17,8,17,8,16,8,16,7,16,7,16,7,15,8,"Wed, 26 Feb 2025 00:00:00 GMT",102,d0944195-eeb8-4160-b225-72686b55dbf2,23.0,0.08636902442772548,194.0,157.39440298507463,2246.1756548187163,1822.3478154113452,217075.380037087
308,14,5,15,5,14,5,12,5,12,5,13,10,13,10,13,10,13,10,13,10,13,10,12,10,12,10,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",255,d3b9e549-643d-45f6-b1c7-86908bee21da,22.0,0.42304322063594174,108.0,731.7755597014926,255.29306399863466,1729.789118476943,215415.83044544744
27,4,5,3,8,3,8,3,8,3,8,3,8,3,8,3,9,3,9,3,12,2,10,3,7,3,7,3,10,"Wed, 26 Feb 2025 00:00:00 GMT",93,d8ebf45c-373e-420a-a1ad-b79665b2ffb9,13.0,0.18417056263382306,153.0,179.44705223880595,830.7516565728373,974.3525223169969,205342.9973270805
98,22,7,20,7,20,7,19,7,20,7,20,7,20,7,20,7,20,7,20,7,20,7,20,7,19,7,19,7,"Wed, 26 Feb 2025 00:00:00 GMT",59,e158dd57-7a9e-42d8-aef0-732ac2d939b5,26.0,0.2527439123580907,314.0,488.78981343283584,1242.3642455732859,1933.9330821955166,203786.41540521776
412,10,10,10,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,12,10,12,10,"Wed, 26 Feb 2025 00:00:00 GMT",379,e6934a0c-3246-44eb-a66e-ff42b80630d9,22.0,0.17725657286399266,173.0,289.0839552238806,975.9863750313017,1630.8786216107883,203098.2094160384
226,12,4,12,4,12,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,6,6,6,6,6,6,6,6,"Wed, 26 Feb 2025 00:00:00 GMT",158,857be699-7806-4a67-89ba-8bd556ed5666,12.0,0.20743736420961148,138.0,176.6285820895522,665.2610561545395,851.4791091882194,194401.62310233316
417,22,4,22,4,23,4,23,4,23,4,23,4,23,4,23,4,23,4,24,4,22,7,22,7,22,7,22,7,"Wed, 26 Feb 2025 00:00:00 GMT",445,c97c48a8-8fc9-4dd0-bf64-63f91e21ef2c,29.0,0.14050103447905096,271.0,287.8430410447761,1928.811421245491,2048.6898342922464,193546.5124508499
271,5,7,6,7,6,7,5,7,5,7,5,7,4,6,5,6,5,6,5,6,5,6,5,6,5,10,5,10,"Wed, 26 Feb 2025 00:00:00 GMT",578,5a12ef4c-ee30-4fc9-a9ee-dc5409febadf,15.0,0.1580868037250396,155.0,164.3623134328358,980.473994967926,1039.6966069268576,189898.9236396087
4,6,6,6,6,6,6,5,5,5,5,5,6,5,6,5,6,5,6,5,6,4,6,4,6,4,6,4,6,"Wed, 26 Feb 2025 00:00:00 GMT",125,a3625302-a27d-4bca-b240-c5515e4c49f5,10.0,0.25121812013272177,155.0,170.27891791044777,616.9937101595677,677.8130407969267,185702.2029580621
269,10,7,12,7,12,7,12,7,12,7,12,7,12,7,13,7,13,7,13,7,13,7,13,7,13,7,13,7,"Wed, 26 Feb 2025 00:00:00 GMT",577,db0af665-1999-4492-8e5e-8657699fc0bf,20.0,0.05507051597785122,106.0,73.89048507462687,1924.8049181640515,1341.7431045015965,183800.4252741913
31,6,5,5,5,6,5,4,7,4,7,4,7,5,4,5,7,5,7,4,8,4,9,5,7,5,7,5,6,"Wed, 26 Feb 2025 00:00:00 GMT",97,6a797944-59b0-4d99-a55a-c8a1ed603b5f,11.0,0.1443217799126818,116.0,106.30018656716418,803.759488485957,736.5498584584973,183449.52888131936
227,14,5,14,5,14,5,12,5,11,5,9,7,9,7,10,7,10,7,10,7,9,8,9,8,9,8,9,8,"Wed, 26 Feb 2025 00:00:00 GMT",147,2be55b08-f526-4b9f-9c7a-5c5c7070d1fe,17.0,0.15898401406671195,148.0,180.88115671641788,930.9112043044598,1137.7317259112453,183357.24833380265
